,candidate_name,party,vote_count,pct,state,office_x,district,incumbent_from_results,last_name_x,Ballotpedia Page,State,District,Campaign Twitter,Official Twitter,Personal Twitter,Party,Incumbent?,Percent of Votes,office_y,Campaign Twitter_handle,Official Twitter_handle,Personal Twitter_handle,last_name_y,_m_full,_m_last,no_twitter
17,Adriano Espaillat,Democrat,109014.0,0.989,New York,house,13,True,Espaillat,https://ballotpedia.org/Adriano_Espaillat,New York,13.0,https://www.twitter.com/EspaillatNY,https://www.twitter.com/RepEspaillat,,Democratic Party,True,0.989,house,@EspaillatNY,@RepEspaillat,,Espaillat,both,,
18,Aja Smith,Republican,55701.0,0.423,California,house,39,False,Smith,https://ballotpedia.org/Aja_Smith,California,39.0,https://www.twitter.com/AjaforCongress,,,Republican Party,False,0.396,house,@AjaforCongress,,,Smith,both,,
19,Al Green,Democrat,125446.0,0.767,Texas,house,9,True,Green,https://ballotpedia.org/Al_Green_(Texas),Texas,9.0,https://www.twitter.com/RepAlGreenTX,https://www.twitter.com/RepAlGreen,,Democratic Party,True,0.774,house,@RepAlGreenTX,@RepAlGreen,,Green,both,,
20,Alan Cohn,Democrat,102835.0,0.415,Florida,house,15,False,Cohn,https://ballotpedia.org/Alan_Cohn,Florida,15.0,https://www.twitter.com/AlanMCohn,,,Democratic Party,False,0.415,house,@AlanMCohn,,,Cohn,both,,
22,Alden Johnson,Libertarian,3569.0,0.02,Mississippi,house,4,False,Johnson,https://ballotpedia.org/Alden_Johnson,Mississippi,4.0,https://www.twitter.com/Alden4Congress,,,Libertarian Party,False,0.021,house,@Alden4Congress,,,Johnson,both,,
23,Alek Skarlatos,Republican,146055.0,0.431,Oregon,house,4,False,Skarlatos,https://ballotpedia.org/Alek_Skarlatos,Oregon,4.0,https://www.twitter.com/alekskarlatos,,,Republican Party,False,0.43,house,@alekskarlatos,,,Skarlatos,both,,
24,Alex Padilla,Democrat,6559303.0,0.609,California,senate,,True,Padilla,,,,,https://www.twitter.com/SenAlexPadilla,,,,,senate,,@SenAlexPadilla,,Padilla,both,,
27,Alexander Mooney,Republican,160493.0,0.656,West Virginia,house,2,True,Mooney,https://ballotpedia.org/Alexander_Mooney,West Virginia,2.0,,https://www.twitter.com/RepAlexMooney,,Republican Party,True,0.656,house,,@RepAlexMooney,,Mooney,both,,
28,Alexander Remrey,Libertarian,26369.0,0.157,Alabama,house,1,False,Remrey,https://ballotpedia.org/Alexander_Remrey,Alabama,1.0,https://www.twitter.com/alexremrey291,,,Libertarian Party,False,0.158,house,@alexremrey291,,,Remrey,both,,
29,Alexandria Ocasio-Cortez,Democrat,78788.0,0.705,New York,house,14,True,Ocasio-Cortez,https://ballotpedia.org/Alexandria_Ocasio-Cortez,New York,14.0,https://www.twitter.com/AOC,https://www.twitter.com/RepAOC,,Democratic Party,True,0.713,house,@AOC,@RepAOC,,Ocasio-Cortez,both,,
30,Alexis Johnson,Republican,96565.0,0.418,New Mexico,house,3,False,Johnson,https://ballotpedia.org/Alexis_Martinez_Johnson,New Mexico,3.0,https://www.twitter.com/alexisjohnsonnm,,,Republican Party,False,0.436,house,@alexisjohnsonnm,,,Johnson,both,,
31,Alfred Lawson,Democrat,121153.0,0.402,Florida,house,2,True,Lawson,https://ballotpedia.org/Alfred_Lawson,Florida,2.0,https://www.twitter.com/AlLawsonJr,https://www.twitter.com/RepAlLawsonJr,,Democratic Party,True,0.402,house,@AlLawsonJr,@RepAlLawsonJr,,Lawson,both,,
32,Alfred O'Neil,Independent,1213.0,<0.1%,Tennessee,governor,,False,O'Neil,,,,,,,,,,governor,,,,O'Neil,both,,
35,Alison Hayden,Republican,60852.0,0.307,California,house,14,False,Hayden,https://ballotpedia.org/Alison_Hayden,California,14.0,https://www.twitter.com/Alison4Congress,,https://www.twitter.com/Elled26,Republican Party,False,0.343,house,@Alison4Congress,,@Elled26,Hayden,both,,
37,Allan Fung,Republican,93969.0,0.467,Rhode Island,house,2,False,Fung,https://ballotpedia.org/Allan_Fung,Rhode Island,2.0,https://www.twitter.com/AllanFungRI,,,Republican Party,False,0.47,house,@AllanFungRI,,,Fung,both,,
38,Allen Cannon,Independent,642.0,0.003,New Jersey,house,1,False,Cannon,https://ballotpedia.org/Allen_Cannon,New Jersey,1.0,,,,Cannon Fire,False,0.0,house,,,,Cannon,both,,
40,Allen Waters,Republican,56055.0,0.358,Rhode Island,house,1,False,Waters,https://ballotpedia.org/Allen_Waters,Rhode Island,1.0,https://www.twitter.com/AllenRWaters,,,Republican Party,False,0.362,house,@AllenRWaters,,,Waters,both,,
42,Alma Adams,Democrat,140494.0,0.627,North Carolina,house,12,True,Adams,https://ballotpedia.org/Alma_Adams,North Carolina,12.0,https://www.twitter.com/AlmaforCongress,https://www.twitter.com/RepAdams,,Democratic Party,True,0.626,house,@AlmaforCongress,@RepAdams,,Adams,both,,
43,Amanda Adkins,Republican,127116.0,0.428,Kansas,house,3,False,Adkins,https://ballotpedia.org/Amanda_Adkins,Kansas,3.0,https://www.twitter.com/amanda_adkins,,,Republican Party,False,0.427,house,@amanda_adkins,,,Adkins,both,,
44,Amanda Waldman,Democrat,92527.0,0.307,Pennsylvania,house,9,False,Waldman,https://ballotpedia.org/Amanda_Waldman,Pennsylvania,9.0,https://www.twitter.com/Waldman4PA,,https://www.twitter.com/Manders_insight,Democratic Party,False,0.304,house,@Waldman4PA,,@Manders_insight,Waldman,both,,
47,Ami Bera,Democrat,121058.0,0.559,California,house,6,True,Bera,https://ballotpedia.org/Ami_Bera,California,6.0,https://www.twitter.com/BeraForCongress,https://www.twitter.com/RepBera,,Democratic Party,True,0.566,house,@BeraForCongress,@RepBera,,Bera,both,,
48,Ammon Bundy,Independent,101835.0,0.172,Idaho,governor,,False,Bundy,,,,https://www.twitter.com/RealABundy,,,,,,governor,@RealABundy,,,Bundy,both,,
49,Amy Chai,Independent Party,4056.0,0.017,Connecticut,house,3,False,Chai,https://ballotpedia.org/Amy_Chai,Connecticut,3.0,https://www.twitter.com/docchai2022,,,Independent Party,False,0.017,house,@docchai2022,,,Chai,both,,
50,Amy Rippel-Elton,Democrat,82101.0,0.305,Ohio,house,12,False,Rippel-Elton,https://ballotpedia.org/Amy_Rippel-Elton,Ohio,12.0,,,,Democratic Party,False,0.305,house,,,,Rippel-Elton,both,,
51,Andrea Kale,Democrat,123798.0,0.355,Florida,house,17,False,Kale,https://ballotpedia.org/Andrea_Doria_Kale,Florida,17.0,https://www.twitter.com/AndreaDoriaKale,,,Democratic Party,False,0.355,house,@AndreaDoriaKale,,,Kale,both,,
52,Andrea Kirby,Working Class Party,5905.0,0.018,Michigan,house,10,False,Kirby,https://ballotpedia.org/Andrea_Kirby,Michigan,10.0,,,,Working Class Party,False,0.018,house,,,,Kirby,both,,
53,Andrea Salinas,Democrat,147156.0,0.501,Oregon,house,6,False,Salinas,https://ballotpedia.org/Andrea_Salinas,Oregon,6.0,https://www.twitter.com/AndreaRSalinas,,,Democratic Party,False,0.498,house,@AndreaRSalinas,,,Salinas,both,,
56,Andrew Clyde,Republican,212820.0,0.724,Georgia,house,9,True,Clyde,https://ballotpedia.org/Andrew_Clyde,Georgia,9.0,,https://www.twitter.com/Rep_Clyde,,Republican Party,True,0.724,house,,@Rep_Clyde,,Clyde,both,,
57,Andrew Gale,Libertarian,4592.0,0.012,Michigan,house,1,False,Gale,https://ballotpedia.org/Andrew_Gale,Michigan,1.0,,,,Libertarian Party,False,0.012,house,,,,Gale,both,,
58,Andrew Garbarino,Republican,148649.0,0.609,New York,house,2,True,Garbarino,https://ballotpedia.org/Andrew_Garbarino,New York,2.0,https://www.twitter.com/GarbarinoforNY,https://www.twitter.com/RepGarbarino,,Republican Party,True,0.609,house,@GarbarinoforNY,@RepGarbarino,,Garbarino,both,,
60,Andrew Harris,Republican,159673.0,0.544,Maryland,house,1,True,Harris,https://ballotpedia.org/Andrew_Harris,Maryland,1.0,https://www.twitter.com/Harris4Congress,https://www.twitter.com/RepAndyHarrisMD,,Republican Party,True,0.6,house,@Harris4Congress,@RepAndyHarrisMD,,Harris,both,,
62,Andrew Kim,Democrat,150497.0,0.554,New Jersey,house,3,True,Kim,https://ballotpedia.org/Andrew_Kim_(New_Jersey),New Jersey,3.0,https://www.twitter.com/AndyKimNJ,https://www.twitter.com/RepAndyKimNJ,,Democratic Party,True,0.549,house,@AndyKimNJ,@RepAndyKimNJ,,Kim,both,,
64,Andria Chieffo,Libertarian,27833.0,0.151,Alabama,house,6,False,Chieffo,https://ballotpedia.org/Andria_Chieffo,Alabama,6.0,,,,Libertarian Party,False,0.153,house,,,,Chieffo,both,,
65,André Carson,Democrat,117309.0,0.67,Indiana,house,7,True,Carson,https://ballotpedia.org/André_Carson,Indiana,7.0,https://www.twitter.com/Andre4Congress,https://www.twitter.com/RepAndreCarson,,Democratic Party,True,0.669,house,@Andre4Congress,@RepAndreCarson,,Carson,both,,
66,Andrés Garcia,Libertarian,4125.0,0.016,Maryland,house,8,False,Garcia,https://ballotpedia.org/Andrés_Garcia,Maryland,8.0,https://www.twitter.com/Andres4Congress,,,Libertarian Party,False,0.018,house,@Andres4Congress,,,Garcia,both,,
67,Andy Barr,Republican,154762.0,0.627,Kentucky,house,6,True,Barr,https://ballotpedia.org/Andy_Barr,Kentucky,6.0,https://www.twitter.com/barrforcongress,https://www.twitter.com/RepAndyBarr,,Republican Party,True,0.651,house,@barrforcongress,@RepAndyBarr,,Barr,both,,
68,Andy Biggs,Republican,182464.0,0.567,Arizona,house,5,True,Biggs,https://ballotpedia.org/Andy_Biggs,Arizona,5.0,https://www.twitter.com/andybiggs4az,https://www.twitter.com/RepAndyBiggsAZ,,Republican Party,True,0.556,house,@andybiggs4az,@RepAndyBiggsAZ,,Biggs,both,,
71,Andy Ogles,Republican,123358.0,0.558,Tennessee,house,5,False,Ogles,https://ballotpedia.org/Andy_Ogles,Tennessee,5.0,https://www.twitter.com/AndyOgles,,,Republican Party,False,0.563,house,@AndyOgles,,,Ogles,both,,
72,Angela Grabovsky,Republican,53631.0,0.306,Indiana,house,7,False,Grabovsky,https://ballotpedia.org/Angela_Grabovsky,Indiana,7.0,https://www.twitter.com/angelaforIN7,,,Republican Party,False,0.306,house,@angelaforIN7,,,Grabovsky,both,,
73,Angie Craig,Democrat,165583.0,0.509,Minnesota,house,2,True,Craig,https://ballotpedia.org/Angie_Craig,Minnesota,2.0,https://www.twitter.com/AngieCraigMN,https://www.twitter.com/RepAngieCraig,,Democratic Party,True,0.509,house,@AngieCraigMN,@RepAngieCraig,,Craig,both,,
74,Angélica Dueñas,Democrat,49520.0,0.415,California,house,29,False,Dueñas,https://ballotpedia.org/Ang%C3%A9lica_Mar%C3%ADa_Due%C3%B1as,California,29.0,https://www.twitter.com/angelica4ca,,,Democratic Party,False,0.38,house,@angelica4ca,,,Dueñas,both,,
75,Ann Roe,Democrat,135825.0,0.451,Wisconsin,house,1,False,Roe,https://ballotpedia.org/Ann_Roe,Wisconsin,1.0,https://www.twitter.com/annsroe,,,Democratic Party,False,0.452,house,@annsroe,,,Roe,both,,
76,Ann Wagner,Republican,173277.0,0.549,Missouri,house,2,True,Wagner,https://ballotpedia.org/Ann_Wagner,Missouri,2.0,https://www.twitter.com/AnnLWagner,https://www.twitter.com/RepAnnWagner,,Republican Party,True,0.549,house,@AnnLWagner,@RepAnnWagner,,Wagner,both,,
77,Anna Eshoo,Democrat,139235.0,0.578,California,house,16,True,Eshoo,https://ballotpedia.org/Anna_Eshoo,California,16.0,https://www.twitter.com/Eshoo4Congress,https://www.twitter.com/RepAnnaEshoo,,Democratic Party,True,0.585,house,@Eshoo4Congress,@RepAnnaEshoo,,Eshoo,both,,
78,Anna Luna,Republican,181487.0,0.531,Florida,house,13,False,Luna,https://ballotpedia.org/Anna_Paulina_Luna,Florida,13.0,https://www.twitter.com/voteapl,,https://www.twitter.com/realannapaulina,Republican Party,False,0.531,house,@voteapl,,@realannapaulina,Luna,both,,
79,Annette Taddeo,Democrat,101404.0,0.427,Florida,house,27,False,Taddeo,https://ballotpedia.org/Annette_Taddeo,Florida,27.0,https://www.twitter.com/Annette_Taddeo,,,Democratic Party,False,0.427,house,@Annette_Taddeo,,,Taddeo,both,,
80,Annie Andrews,Democrat,115796.0,0.425,South Carolina,house,1,False,Andrews,https://ballotpedia.org/Annie_Andrews,South Carolina,1.0,https://www.twitter.com/AnnieAndrewsMD,,,Democratic Party,False,0.425,house,@AnnieAndrewsMD,,,Andrews,both,,
81,Annie Kuster,Democrat,171636.0,0.558,New Hampshire,house,2,True,Kuster,https://ballotpedia.org/Annie_Kuster,New Hampshire,2.0,https://www.twitter.com/AnnMcLaneKuster,https://www.twitter.com/RepAnnieKuster,,Democratic Party,True,0.566,house,@AnnMcLaneKuster,@RepAnnieKuster,,Kuster,both,,
85,Anthony D'Esposito,Republican,138831.0,0.519,New York,house,4,False,D'Esposito,https://ballotpedia.org/Anthony_D'Esposito,New York,4.0,https://www.twitter.com/ANTHONYDESPO,,,Republican Party,False,0.519,house,@ANTHONYDESPO,,,D'Esposito,both,,
87,Anthony Sanchez,Independent,920.0,0.004,New Jersey,house,2,False,Sanchez,https://ballotpedia.org/Anthony_Parisi_Sanchez,New Jersey,2.0,,,,Not for Sale,False,0.001,house,,,,Sanchez,both,,
89,Antonio Daza,Democrat,113571.0,0.374,Georgia,house,11,False,Daza,https://ballotpedia.org/Antonio_Daza,Georgia,11.0,https://www.twitter.com/VoteDaza2022,,https://www.twitter.com/AntonioDaza,Democratic Party,False,0.373,house,@VoteDaza2022,,@AntonioDaza,Daza,both,,
90,Antonio Swad,Republican,61494.0,0.346,Texas,house,32,False,Swad,https://ballotpedia.org/Antonio_Swad,Texas,32.0,https://www.twitter.com/swadforcongress,,,Republican Party,False,0.338,house,@swadforcongress,,,Swad,both,,
91,April Becker,Republican,121083.0,0.48,Nevada,house,3,False,Becker,https://ballotpedia.org/April_Becker,Nevada,3.0,https://www.twitter.com/voteaprilbecker,,,Republican Party,False,0.49,house,@voteaprilbecker,,,Becker,both,,
96,Ashley Ehasz,Democrat,165803.0,0.451,Pennsylvania,house,1,False,Ehasz,https://ballotpedia.org/Ashley_Ehasz,Pennsylvania,1.0,https://www.twitter.com/ashley_ehasz,,,Democratic Party,False,0.44,house,@ashley_ehasz,,,Ehasz,both,,
97,Ashley Hinson,Republican,172181.0,0.541,Iowa,house,2,True,Hinson,https://ballotpedia.org/Ashley_Hinson,Iowa,2.0,https://www.twitter.com/hinsonashley,https://www.twitter.com/RepAshleyHinson,,Republican Party,True,0.552,house,@hinsonashley,@RepAshleyHinson,,Hinson,both,,
99,Ashley Kalus,Republican,139001.0,0.389,Rhode Island,governor,,False,Kalus,,,,https://www.twitter.com/AshleyKalus,,,,,,governor,@AshleyKalus,,,Kalus,both,,
101,Asif Mahmood,Democrat,122722.0,0.432,California,house,40,False,Mahmood,https://ballotpedia.org/Asif_Mahmood,California,40.0,https://www.twitter.com/DrMahmood40,,,Democratic Party,False,0.415,house,@DrMahmood40,,,Mahmood,both,,
103,August Pfluger,Republican,151066.0,1,Texas,house,11,True,Pfluger,https://ballotpedia.org/August_Pfluger,Texas,11.0,https://www.twitter.com/AugustPfluger,https://www.twitter.com/RepPfluger,,Republican Party,True,1.0,house,@AugustPfluger,@RepPfluger,,Pfluger,both,,
104,Austin Scott,Republican,178700.0,0.686,Georgia,house,8,True,Scott,https://ballotpedia.org/Austin_Scott,Georgia,8.0,https://www.twitter.com/AustinScott4GA,https://www.twitter.com/AustinScottGA08,,Republican Party,True,0.686,house,@AustinScott4GA,@AustinScottGA08,,Scott,both,,
106,Ayanna Pressley,Democrat,151825.0,0.846,Massachusetts,house,7,True,Pressley,https://ballotpedia.org/Ayanna_Pressley,Massachusetts,7.0,https://www.twitter.com/AyannaPressley,https://www.twitter.com/RepPressley,,Democratic Party,True,0.849,house,@AyannaPressley,@RepPressley,,Pressley,both,,
110,Barbara Gaskins,Democrat,82378.0,0.331,North Carolina,house,3,False,Gaskins,https://ballotpedia.org/Barbara_Gaskins,North Carolina,3.0,https://www.twitter.com/barbara4NC,,,Democratic Party,False,0.33,house,@barbara4NC,,,Gaskins,both,,
111,Barbara Kirkmeyer,Republican,112745.0,0.477,Colorado,house,8,False,Kirkmeyer,https://ballotpedia.org/Barbara_Kirkmeyer,Colorado,8.0,https://www.twitter.com/Kirkmeyer4CO,,https://www.twitter.com/bkirkmeyer,Republican Party,False,0.477,house,@Kirkmeyer4CO,,@bkirkmeyer,Kirkmeyer,both,,
112,Barbara Lee,Democrat,217110.0,0.905,California,house,12,True,Lee,https://ballotpedia.org/Barbara_Lee_(California),California,12.0,https://www.twitter.com/BLeeForCongress,https://www.twitter.com/RepBarbaraLee,,Democratic Party,True,0.871,house,@BLeeForCongress,@RepBarbaraLee,,Lee,both,,
114,Barry Lindemann,No Party Designation,8075.0,0.008,Nevada,senate,,False,Lindemann,,,,,,,,,,senate,,,,Lindemann,both,,
115,Barry Loudermilk,Republican,190086.0,0.626,Georgia,house,11,True,Loudermilk,https://ballotpedia.org/Barry_Loudermilk,Georgia,11.0,https://www.twitter.com/standwithbarry,https://www.twitter.com/reploudermilk,,Republican Party,True,0.627,house,@standwithbarry,@reploudermilk,,Loudermilk,both,,
116,Barry Moore,Republican,137460.0,0.691,Alabama,house,2,True,Moore,https://ballotpedia.org/Barry_Moore_(Alabama),Alabama,2.0,,https://www.twitter.com/RepBarryMoore,,Republican Party,True,0.692,house,,@RepBarryMoore,,Moore,both,,
118,Barry Wendell,Democrat,84278.0,0.344,West Virginia,house,2,False,Wendell,https://ballotpedia.org/Barry_Wendell,West Virginia,2.0,https://www.twitter.com/VoteforBarry,,,Democratic Party,False,0.344,house,@VoteforBarry,,,Wendell,both,,
119,Bart Goldberg,Democrat,110946.0,0.35,Michigan,house,5,False,Goldberg,https://ballotpedia.org/Bart_Goldberg,Michigan,5.0,https://www.twitter.com/bartgoldbergmi5,,,Democratic Party,False,0.345,house,@bartgoldbergmi5,,,Goldberg,both,,
120,Basil Marceaux,Independent,1564.0,<0.1%,Tennessee,governor,,False,Marceaux,,,,,,,,,,governor,,,,Marceaux,both,,
121,Beatrice Nichols,Republican,67416.0,0.348,Alabama,house,7,False,Nichols,https://ballotpedia.org/Beatrice_Nichols,Alabama,7.0,https://www.twitter.com/NicholsCongress,,,Republican Party,False,0.344,house,@NicholsCongress,,,Nichols,both,,
123,Belinda Fox-Spencer,Independent,10257.0,0.045,West Virginia,house,1,False,Fox-Spencer,https://ballotpedia.org/Belinda_Fox-Spencer,West Virginia,1.0,https://www.twitter.com/bfoxspencer,,,Independent,False,0.045,house,@bfoxspencer,,,Fox-Spencer,both,,
125,Ben Clark,Democrat,101202.0,0.435,North Carolina,house,9,False,Clark,https://ballotpedia.org/Ben_Clark,North Carolina,9.0,https://www.twitter.com/BenClarkNC,https://www.twitter.com/SenatorClark,,Democratic Party,False,0.433,house,@BenClarkNC,@SenatorClark,,Clark,both,,
126,Ben Robinson,Independent,9635.0,0.042,Oklahoma,house,2,False,Robinson,https://ballotpedia.org/Ben_Robinson,Oklahoma,2.0,,,,Independent,False,0.042,house,,,,Robinson,both,,
127,Benine Hamdan,Republican,27230.0,0.152,New York,house,10,False,Hamdan,https://ballotpedia.org/Benine_Hamdan,New York,10.0,https://www.twitter.com/najimbenine,,,Republican Party,False,0.148,house,@najimbenine,,,Hamdan,both,,
128,Benjamin Cline,Republican,173352.0,0.644,Virginia,house,6,True,Cline,https://ballotpedia.org/Ben_Cline,Virginia,6.0,https://www.twitter.com/Cline4Virginia,https://www.twitter.com/RepBenCline,,Republican Party,True,0.647,house,@Cline4Virginia,@RepBenCline,,Cline,both,,
129,Bennie Thompson,Democrat,108285.0,0.601,Mississippi,house,2,True,Thompson,https://ballotpedia.org/Bennie_Thompson,Mississippi,2.0,https://www.twitter.com/BGThompsonMS,https://www.twitter.com/BennieGThompson,,Democratic Party,True,0.593,house,@BGThompsonMS,@BennieGThompson,,Thompson,both,,
130,Bernard Peters,Independent,2315.0,0.008,Vermont,governor,,False,Peters,,,,,,,,,,governor,,,,Peters,both,,
132,Beth Duyne,Republican,177947.0,0.597,Texas,house,24,True,Duyne,https://ballotpedia.org/Beth_Van_Duyne,Texas,24.0,https://www.twitter.com/Bethvanduyne,https://www.twitter.com/RepBethVanDuyne,,Republican Party,True,0.599,house,@Bethvanduyne,@RepBethVanDuyne,,Duyne,both,,
133,Bethany Mann,Democrat,96851.0,0.349,Missouri,house,3,False,Mann,https://ballotpedia.org/Bethany_Mann,Missouri,3.0,https://www.twitter.com/Mann4Congress,,https://www.twitter.com/UnityBethany,Democratic Party,False,0.349,house,@Mann4Congress,,@UnityBethany,Mann,both,,
134,Beto O'Rourke,Democrat,3553656.0,0.439,Texas,governor,,False,O'Rourke,,,,https://www.twitter.com/BetoORourke,,,,,,governor,@BetoORourke,,,O'Rourke,both,,
135,Betsy Johnson,No Party Affiliation,168425.0,0.086,Oregon,governor,,False,Johnson,,,,https://www.twitter.com/senbetsyjohnson,,,,,,governor,@senbetsyjohnson,,,Johnson,both,,
136,Betty McCollum,Democrat,200055.0,0.676,Minnesota,house,4,True,McCollum,https://ballotpedia.org/Betty_McCollum,Minnesota,4.0,https://www.twitter.com/VoteBetty,https://www.twitter.com/BettyMcCollum04,,Democratic Party,True,0.677,house,@VoteBetty,@BettyMcCollum04,,McCollum,both,,
138,Bill Foster,Democrat,149160.0,0.565,Illinois,house,11,True,Foster,https://ballotpedia.org/Bill_Foster_(Illinois),Illinois,11.0,https://www.twitter.com/Foster4Congress,https://www.twitter.com/RepBillFoster,,Democratic Party,True,0.557,house,@Foster4Congress,@RepBillFoster,,Foster,both,,
139,Bill Gilbert,Moderate Party,5489.0,0.027,Rhode Island,house,2,False,Gilbert,https://ballotpedia.org/Bill_Gilbert,Rhode Island,2.0,,,,Independent,False,0.027,house,,,,Gilbert,both,,
140,Bill Huizenga,Republican,183936.0,0.544,Michigan,house,4,True,Huizenga,https://ballotpedia.org/Bill_Huizenga,Michigan,4.0,https://www.twitter.com/billhuizenga,https://www.twitter.com/RepHuizenga,,Republican Party,True,0.573,house,@billhuizenga,@RepHuizenga,,Huizenga,both,,
141,Bill Johnson,Republican,186965.0,0.677,Ohio,house,6,True,Johnson,https://ballotpedia.org/Bill_Johnson_(Ohio),Ohio,6.0,https://www.twitter.com/JohnsonLeads,https://www.twitter.com/RepBillJohnson,,Republican Party,True,0.674,house,@JohnsonLeads,@RepBillJohnson,,Johnson,both,,
142,Bill Keating,Democrat,197823.0,0.592,Massachusetts,house,9,True,Keating,https://ballotpedia.org/Bill_Keating,Massachusetts,9.0,https://www.twitter.com/WilliamKeating,https://www.twitter.com/USRepKeating,,Democratic Party,True,0.596,house,@WilliamKeating,@USRepKeating,,Keating,both,,
143,Bill Kelsey,Libertarian,6064.0,0.024,Texas,house,10,False,Kelsey,https://ballotpedia.org/Bill_Kelsey,Texas,10.0,,,,Libertarian Party,False,0.023,house,,,,Kelsey,both,,
144,Bill Lee,Republican,1128097.0,0.649,Tennessee,governor,,True,Lee,,,,https://www.twitter.com/BillLeeTN,,,,,,governor,@BillLeeTN,,,Lee,both,,
146,Bill Pascrell,Democrat,82457.0,0.549,New Jersey,house,9,True,Pascrell,https://ballotpedia.org/Bill_Pascrell,New Jersey,9.0,https://www.twitter.com/PascrellforNJ,https://www.twitter.com/BillPascrell,,Democratic Party,True,0.701,house,@PascrellforNJ,@BillPascrell,,Pascrell,both,,
147,Bill Posey,Republican,222128.0,0.649,Florida,house,8,True,Posey,https://ballotpedia.org/Bill_Posey,Florida,8.0,https://www.twitter.com/PoseyCampaign,https://www.twitter.com/congbillposey,,Republican Party,True,0.649,house,@PoseyCampaign,@congbillposey,,Posey,both,,
148,Bill Redpath,Libertarian,67372.0,0.017,Illinois,senate,,False,Redpath,,,,https://www.twitter.com/BillRedpath,,,,,,senate,@BillRedpath,,,Redpath,both,,
150,Bill Slantz,Libertarian,6494.0,0.021,Missouri,house,2,False,Slantz,https://ballotpedia.org/Bill_Slantz,Missouri,2.0,,,https://www.twitter.com/BillSlantz,Libertarian Party,False,0.021,house,,,@BillSlantz,Slantz,both,,
152,Bill Walker,Independent,54668.0,0.207,Alaska,governor,,False,Walker,,,,,,https://www.twitter.com/billwalkerak,,,,governor,,,@billwalkerak,Walker,both,,
153,Billy Prempeh,Republican,65365.0,0.436,New Jersey,house,9,False,Prempeh,https://ballotpedia.org/Billy_Prempeh,New Jersey,9.0,https://www.twitter.com/BillyPrempeh,,,Republican Party,False,0.285,house,@BillyPrempeh,,,Prempeh,both,,
155,Blaine Luetkemeyer,Republican,180746.0,0.651,Missouri,house,3,True,Luetkemeyer,https://ballotpedia.org/Blaine_Luetkemeyer,Missouri,3.0,https://www.twitter.com/LuetkemeyerB,https://www.twitter.com/RepBlaine,,Republican Party,True,0.651,house,@LuetkemeyerB,@RepBlaine,,Luetkemeyer,both,,
